Player,Season,DIS,DBPM,DWS,D-LEBRON
Royce O'Neale,2019-20,6.24507984,2.2,2.5,1.24
Robin Lopez,2019-20,6.207383002,0.4,1.6,0.85
Thaddeus Young,2019-20,6.119976324,0.2,2.1,0.36
Chris Paul,2019-20,5.927754655,1.4,3.0,1.32
Dejounte Murray,2019-20,5.856782919,1.3,2.0,0.93
Julius Randle,2019-20,5.836208352,-1.0,1.8,-0.48
Marvin Williams,2019-20,5.816546094,2.5,0.6,0.88
Mo Bamba,2019-20,5.740803389,1.6,1.7,1.94
Dario Saric,2019-20,5.725149984,-0.3,1.5,0.06
George Hill,2019-20,5.692410692,1.3,2.1,0.22
Goga Bitadze,2019-20,5.651617432,1.8,0.8,1.13
Jaylen Brown,2019-20,5.599352964,-0.2,2.6,0.18
Wendell Carter Jr.,2019-20,5.589690558,-0.3,1.6,1.39
Jerami Grant,2019-20,5.574797036,-0.6,1.6,-1.24
Aaron Gordon,2019-20,5.467962551,0.1,2.3,0.72
Taurean Prince,2019-20,5.37477658,-0.1,2.3,0.59
James Harden,2019-20,5.363711638,1.6,3.2,-0.85
Marcus Morris Sr.,2019-20,5.333888478,,,0.35
Danny Green,2019-20,5.324230305,1.5,2.5,0.65
Gary Harris,2019-20,5.321857341,0.3,1.4,0.46
Joe Ingles,2019-20,5.294129881,0.7,2.1,0.68
Mikal Bridges,2019-20,5.099173722,1.5,2.3,0.38
Cory Joseph,2019-20,4.990268571,0.1,1.1,1.03
Grant Williams,2019-20,4.91385782,1.4,1.4,0.62
Marquese Chriss,2019-20,4.79678934,0.6,1.3,1.33
John Henson,2019-20,4.619169176,1.7,0.2,2.15
Meyers Leonard,2019-20,4.60183542,0.4,1.2,1.49
Enes Freedom,2019-20,4.290917745,-0.3,1.8,0.23
Maurice Harkless,2019-20,4.131436924,-0.3,0.2,-0.43
Juan Toscano-Anderson,2019-20,4.093227715,0.5,0.2,0.85
P.J. Washington,2019-20,3.976934381,0.1,1.5,-0.25
Nemanja Bjelica,2019-20,3.973697309,0.5,1.9,0.73
Duncan Robinson,2019-20,3.969342495,-1.0,1.6,0.24
Taj Gibson,2019-20,3.900432416,-0.3,0.8,0.38
Mason Plumlee,2019-20,3.890949482,1.7,1.4,0.69
Brandon Clarke,2019-20,3.885195531,0.7,1.6,-0.03
Chris Boucher,2019-20,3.882726266,1.0,1.8,0.4
Kelly Olynyk,2019-20,3.806635334,1.0,1.8,0.91
Rudy Gay,2019-20,3.768425086,-0.9,1.1,0.45
Pat Connaughton,2019-20,3.644008352,1.5,2.3,0.16
Bruce Brown,2019-20,3.62480048,0.8,1.4,0.25
Anthony Tolliver,2019-20,3.592425287,0.6,0.2,-0.22
Khem Birch,2019-20,3.582795462,0.2,0.9,0.41
Delon Wright,2019-20,3.4541884,1.9,1.8,0.58
Bogdan Bogdanovic,2019-20,3.436041184,-0.5,1.3,0.02
Aron Baynes,2019-20,3.14025947,-0.8,0.8,0.36
Elfrid Payton,2019-20,3.05085961,0.4,1.2,0.19
Shaquille Harrison,2019-20,3.048915216,2.4,0.8,1.25
JaMychal Green,2019-20,2.983423171,0.7,2.0,-0.03
JaKarr Sampson,2019-20,2.918264119,1.4,0.7,1.26
Harrison Barnes,2019-20,2.900027146,-1.3,1.1,-0.21
Ian Mahinmi,2019-20,2.881376243,0.0,0.7,1.52
Terrance Ferguson,2019-20,2.846304442,0.3,0.9,-0.55
Kevon Looney,2019-20,2.694428003,-0.8,0.2,0.73
Gordon Hayward,2019-20,2.593893825,0.1,2.2,0.54
Darius Bazley,2019-20,2.534826205,0.5,1.5,0.44
Rodions Kurucs,2019-20,2.477053345,0.9,0.8,0.22
De'Anthony Melton,2019-20,2.47517437,2.0,1.7,1.27
Tobias Harris,2019-20,2.462258004,-0.5,2.7,0.47
Wes Iwundu,2019-20,2.455488339,0.0,0.8,0.25
Patrick Patterson,2019-20,2.434554846,-0.5,0.8,-0.39
Josh Hart,2019-20,2.375494483,0.4,1.8,-0.57
Jaxson Hayes,2019-20,2.31196102,0.6,1.1,0.45
Wilson Chandler,2019-20,2.28135839,1.0,0.9,0.99
John Collins,2019-20,2.249822895,-0.6,1.2,0.64
Karl-Anthony Towns,2019-20,2.235348636,0.8,1.3,-0.58
Josh Richardson,2019-20,2.223397856,-0.4,1.7,0.05
Eric Mika,2019-20,2.19943215,-1.5,0.0,0.19
Justise Winslow,2019-20,2.18143543,-0.1,0.4,0.44
Ky Bowman,2019-20,2.133031799,-0.3,0.6,0.36
Ricky Rubio,2019-20,2.12874364,0.2,2.0,1.19
Joakim Noah,2019-20,2.102505585,2.5,0.1,-0.29
Danuel House Jr.,2019-20,2.074985929,0.0,1.8,0.12
Lonzo Ball,2019-20,2.073304095,0.6,2.0,-0.36
Nicolas Batum,2019-20,2.038874594,0.9,0.4,0.44
Zach Collins,2019-20,2.030709389,-1.4,0.1,0.96
Bismack Biyombo,2019-20,2.02419858,-0.7,0.9,0.32
Markelle Fultz,2019-20,2.008136941,0.0,2.0,0.69
Dennis Schroder,2019-20,1.990548202,-1.1,1.8,-0.92
Trey Lyles,2019-20,1.875600846,-0.7,1.0,0.74
Skal Labissiere,2019-20,1.857967529,0.2,0.4,0.22
Mike Muscala,2019-20,1.84718333,-0.2,0.6,0.48
Ed Davis,2019-20,1.812092938,1.5,0.5,1.4
Daniel Gafford,2019-20,1.779111893,1.5,0.8,1.34
Russell Westbrook,2019-20,1.753353609,-0.1,2.5,-0.32
Lauri Markkanen,2019-20,1.740237506,-0.8,1.6,0.01
Norman Powell,2019-20,1.711166693,0.8,2.3,-0.69
Josh Okogie,2019-20,1.709474937,0.0,1.2,-0.01
Jordan Bell,2019-20,1.708249829,-0.8,0.0,0.14
Larry Nance Jr.,2019-20,1.684961495,0.4,1.1,0.1
Tony Bradley,2019-20,1.682663149,0.3,1.1,0.46
Evan Turner,2019-20,1.599115595,-0.7,0.1,0.0
Shai Gilgeous-Alexander,2019-20,1.532996861,0.4,3.0,0.16
Jeremy Lamb,2019-20,1.529782008,0.8,1.8,0.0
Garrett Temple,2019-20,1.498167436,0.3,1.7,-0.46
KZ Okpala,2019-20,1.459859594,3.7,0.0,-0.26
Jeff Green,2019-20,1.446579153,0.1,0.4,-0.31
Kemba Walker,2019-20,1.444935031,-0.3,2.0,-0.4
Bruno Caboclo,2019-20,1.423468656,1.6,0.1,0.85
DeAndre' Bembry,2019-20,1.373821663,1.1,0.8,0.62
Michael Kidd-Gilchrist,2019-20,1.264141021,-0.4,0.1,0.55
Jevon Carter,2019-20,1.253600249,1.3,1.0,0.36
Sterling Brown,2019-20,1.095835273,1.0,1.5,0.3
Malcolm Brogdon,2019-20,1.048494737,-0.5,1.7,-0.62
Dragan Bender,2019-20,0.833812267,-1.2,0.1,0.51
Miles Bridges,2019-20,0.817107039,-1.0,1.3,-1.16
Mike Scott,2019-20,0.798790227,-1.1,1.1,-0.48
Vince Carter,2019-20,0.732644958,-1.2,0.4,-0.92
Cody Zeller,2019-20,0.719114009,-0.8,1.3,-0.03
Hamidou Diallo,2019-20,0.679371622,0.3,1.1,-0.4
Aaron Holiday,2019-20,0.631928111,0.0,1.7,-0.52
Thabo Sefolosha,2019-20,0.592826217,1.7,0.6,0.61
Thon Maker,2019-20,0.537453605,0.7,0.8,0.57
Michael Carter-Williams,2019-20,0.524542874,1.6,1.2,0.42
Davis Bertans,2019-20,0.485885291,-1.8,0.5,-0.34
Noah Vonleh,2019-20,0.458838892,-1.9,0.0,0.47
Cheick Diallo,2019-20,0.440783276,-0.2,0.5,0.3
Will Barton,2019-20,0.416736318,-0.2,1.8,-0.01
Abdel Nader,2019-20,0.403393898,0.2,0.9,-0.36
Dean Wade,2019-20,0.387938386,0.5,0.1,0.74
Ja Morant,2019-20,0.367434807,-1.2,1.5,-0.87
Jabari Parker,2019-20,0.336146488,-0.9,0.1,0.19
Al-Farouq Aminu,2019-20,0.308971641,1.4,0.5,1.05
Terence Davis,2019-20,0.26076309,0.7,1.9,-1.05
Shabazz Napier,2019-20,0.25709424,-0.7,0.3,0.47
Carmelo Anthony,2019-20,0.253460684,-1.8,0.9,-0.78
Bruno Fernando,2019-20,0.245452299,-0.9,0.4,-0.15
Omari Spellman,2019-20,0.186538509,-1.0,0.7,-0.15
De'Andre Hunter,2019-20,0.093915038,-1.8,0.5,-0.98
Luka Doncic,2019-20,0.081233051,1.0,2.3,-0.34
Dwayne Bacon,2019-20,0.040683345,-0.9,0.4,-0.42
Jarrett Culver,2019-20,0.030479196,-0.7,1.1,-0.19
Max Strus,2019-20,-0.004474292,-1.7,0.0,-0.41
Danilo Gallinari,2019-20,-0.015413147,-0.9,1.9,-0.84
Rodney Hood,2019-20,-0.045687177,-0.5,0.2,-0.07
Frank Ntilikina,2019-20,-0.112988537,0.4,0.8,0.63
Eric Paschall,2019-20,-0.114201806,-2.0,0.5,-1.17
Wenyen Gabriel,2019-20,-0.140671222,-0.3,0.1,0.42
Zach LaVine,2019-20,-0.146717066,-0.8,2.2,-1.39
Chris Chiozza,2019-20,-0.216963581,-0.3,0.3,0.25
Kyle O'Quinn,2019-20,-0.226253741,2.7,0.6,0.7
Avery Bradley,2019-20,-0.228151455,0.5,1.4,-0.43
Jusuf Nurkic,2019-20,-0.245058019,1.0,0.3,1.77
Jahlil Okafor,2019-20,-0.293556845,0.3,0.4,-0.01
Evan Fournier,2019-20,-0.298633303,-0.4,1.7,0.01
Semi Ojeleye,2019-20,-0.330269036,0.4,1.0,-0.83
Tyson Chandler,2019-20,-0.443270918,1.1,0.3,0.38
Amile Jefferson,2019-20,-0.475687688,-1.0,0.1,0.06
Brandon Ingram,2019-20,-0.505946491,-0.4,1.8,-1.32
T.J. McConnell,2019-20,-0.590811311,0.4,1.7,0.47
Tyler Zeller,2019-20,-0.662843463,-22.1,0.0,-0.16
Alec Burks,2019-20,-0.664123531,-1.1,0.4,-0.74
Romeo Langford,2019-20,-0.709265873,-0.3,0.4,-0.5
D.J. Wilson,2019-20,-0.715641436,0.0,0.6,-0.38
Frank Mason III,2019-20,-0.7595181,0.6,0.2,-0.42
Naz Reid,2019-20,-0.764907693,-0.3,0.6,0.39
Mario Hezonja,2019-20,-0.815534292,0.2,0.6,-0.17
Rodney McGruder,2019-20,-0.840563658,0.8,1.1,-0.33
Torrey Craig,2019-20,-0.876192023,-0.3,0.9,-0.49
Kyle Korver,2019-20,-0.883903527,0.7,1.5,-0.86
Kyle Kuzma,2019-20,-0.886942125,-1.0,1.9,-0.76
CJ McCollum,2019-20,-0.903236482,-1.8,0.6,-1.93
Tim Hardaway Jr.,2019-20,-0.987974778,-1.4,1.1,-1.52
Jamal Murray,2019-20,-1.132245762,-0.8,1.5,-0.79
Stanley Johnson,2019-20,-1.146200638,1.4,0.3,-0.42
Justin Patton,2019-20,-1.150663745,-3.3,0.0,-0.59
Bobby Portis,2019-20,-1.158197657,-1.1,1.0,-1.11
Damian Jones,2019-20,-1.167194342,0.1,0.6,1.03
Timothe Luwawu-Cabarrot,2019-20,-1.316486194,-0.5,0.7,-0.2
Matthew Dellavedova,2019-20,-1.328843289,-1.6,0.1,0.28
Jalen Lecque,2019-20,-1.342860405,-2.9,0.0,-0.13
Jared Dudley,2019-20,-1.356970424,2.0,0.5,0.43
Justin Jackson,2019-20,-1.362859997,-1.3,0.6,-0.96
Juwan Morgan,2019-20,-1.500340755,-0.3,0.1,-0.37
Patty Mills,2019-20,-1.51744635,-1.2,0.5,-1.48
Kentavious Caldwell-Pope,2019-20,-1.540718182,0.4,1.9,-0.61
Cedi Osman,2019-20,-1.544289624,-0.9,0.6,-0.9
Gabe Vincent,2019-20,-1.596824199,-1.9,0.1,-0.43
Cam Reddish,2019-20,-1.598821218,-1.0,0.8,-1.25
David Nwaba,2019-20,-1.604015491,2.0,0.4,0.74
Vincent Poirier,2019-20,-1.633683803,1.0,0.2,-0.5
Nicolo Melli,2019-20,-1.637095381,0.2,0.9,-0.27
Isaiah Roby,2019-20,-1.696359487,-3.4,0.0,-0.41
Damion Lee,2019-20,-1.771796995,-0.8,0.8,0.75
Alize Johnson,2019-20,-1.771824522,0.2,0.2,-0.08
Tyus Jones,2019-20,-1.841361302,0.2,1.1,-0.37
Donovan Mitchell,2019-20,-1.891006777,-0.6,2.2,-0.5
Joe Harris,2019-20,-1.9100598,-0.6,1.8,-0.68
Iman Shumpert,2019-20,-1.945271903,0.7,0.3,-0.13
Josh Gray,2019-20,-1.977755309,-4.7,0.0,-0.03
Otto Porter Jr.,2019-20,-1.98139671,0.2,0.4,-0.2
Javonte Green,2019-20,-1.985563897,1.4,0.8,-0.29
Chandler Hutchison,2019-20,-2.025705672,0.1,0.7,0.42
Marial Shayok,2019-20,-2.053693679,-3.7,0.0,-0.62
Tomas Satoransky,2019-20,-2.079336869,-0.2,1.7,-0.17
Tony Snell,2019-20,-2.101307951,-0.6,0.5,-0.96
Kadeem Allen,2019-20,-2.128645553,-0.7,0.1,-0.12
Spencer Dinwiddie,2019-20,-2.135201948,-0.9,1.6,-1.17
Luka Samanic,2019-20,-2.154561071,-1.7,0.0,-0.08
Caleb Swanigan,2019-20,-2.155991283,-0.1,0.2,0.27
Jerome Robinson,2019-20,-2.192482103,-0.9,0.2,-0.41
Nassir Little,2019-20,-2.197587565,-0.6,0.3,-0.47
Ryan Arcidiacono,2019-20,-2.204036075,-0.1,0.7,-0.47
Frank Kaminsky,2019-20,-2.226490645,-0.4,0.7,-0.08
Thomas Bryant,2019-20,-2.234857014,-0.7,0.8,-0.11
Oshae Brissett,2019-20,-2.255164737,0.4,0.2,-0.82
Harry Giles III,2019-20,-2.258244071,,,1.11
Jordan Poole,2019-20,-2.261549784,-2.2,0.4,-0.2
Kelan Martin,2019-20,-2.289805648,-1.0,0.3,-0.37
Chris Silva,2019-20,-2.313726238,0.8,0.5,0.5
Terance Mann,2019-20,-2.324664416,1.2,0.4,-0.02
Glenn Robinson III,2019-20,-2.335624134,-1.3,0.3,-0.85
Bradley Beal,2019-20,-2.375420444,-2.4,0.6,-2.05
Jalen McDaniels,2019-20,-2.423770685,0.1,0.2,0.6
DeMarre Carroll,2019-20,-2.428902337,-0.4,0.2,0.18
Victor Oladipo,2019-20,-2.462284301,-1.1,0.6,-0.67
Caleb Martin,2019-20,-2.517822087,0.6,0.2,0.31
Andrew Wiggins,2019-20,-2.518870036,-1.1,0.3,-1.55
Brad Wanamaker,2019-20,-2.551184492,1.3,1.8,-0.8
Kyle Guy,2019-20,-2.617179818,-4.8,0.0,0.0
Caris LeVert,2019-20,-2.629547049,-0.9,1.4,-0.58
Edmond Sumner,2019-20,-2.639353434,0.2,0.5,-0.95
Courtney Lee,2019-20,-2.696665783,1.5,0.3,0.38
Eric Gordon,2019-20,-2.732583002,-2.1,0.6,-2.11
James Johnson,2019-20,-2.741307261,1.5,0.4,-0.07
Amir Coffey,2019-20,-2.791375984,0.1,0.2,-0.37
Justin Anderson,2019-20,-2.81400335,-1.0,0.1,0.08
Landry Shamet,2019-20,-2.838659003,-0.3,1.1,-0.82
Buddy Hield,2019-20,-2.844775105,-1.4,1.5,-1.13
Gary Payton II,2019-20,-2.882008762,1.5,0.4,0.63
Kevin Knox II,2019-20,-2.917814664,,,-0.63
Stephen Curry,2019-20,-2.940118629,-0.6,0.1,0.28
Lonnie Walker IV,2019-20,-2.974978632,-1.0,0.6,-0.82
DaQuan Jeffries,2019-20,-2.992821733,-1.1,0.1,0.24
Jordan McLaughlin,2019-20,-3.041754158,0.0,0.4,-0.08
D.J. Augustin,2019-20,-3.066216912,-1.3,0.9,-1.27
Treveon Graham,2019-20,-3.066567055,-1.7,0.1,-0.8
Troy Brown Jr.,2019-20,-3.081889378,-0.4,1.2,-0.19
Kendrick Nunn,2019-20,-3.099553384,-1.3,1.6,-0.66
James Ennis III,2019-20,-3.157391327,-1.1,0.5,-0.44
Ryan Broekhoff,2019-20,-3.185764077,0.3,0.2,-0.43
Alen Smailagic,2019-20,-3.190931492,-0.7,0.1,0.18
Chimezie Metu,2019-20,-3.19339941,-0.1,0.1,-0.17
Jonah Bolden,2019-20,-3.194558548,-0.3,0.1,-0.1
Ante Zizic,2019-20,-3.213947282,-1.5,0.2,0.28
Devin Booker,2019-20,-3.246730753,-1.3,1.5,-1.4
Corey Brewer,2019-20,-3.305555029,2.8,0.1,0.26
Markieff Morris,2019-20,-3.388363426,-0.1,0.3,-0.94
Tyler Johnson,2019-20,-3.394924344,-1.7,0.1,-0.96
Jeremy Pargo,2019-20,-3.401038851,-3.1,0.0,0.23
Zion Williamson,2019-20,-3.40186244,-1.4,0.4,-1.17
Mike Conley,2019-20,-3.407470031,-0.4,1.1,-0.57
Cameron Johnson,2019-20,-3.410484821,-0.4,1.0,-0.4
Patrick McCaw,2019-20,-3.424386266,1.8,1.2,-0.63
Tyrone Wallace,2019-20,-3.433682369,-1.0,0.1,0.21
Jordan McRae,2019-20,-3.46219786,-4.2,0.0,-0.76
Jacob Evans,2019-20,-3.502463174,-5.6,0.0,0.35
Marvin Bagley III,2019-20,-3.575623153,-1.4,0.3,-0.25
Wayne Ellington,2019-20,-3.61014056,-1.0,0.2,-0.59
Melvin Frazier Jr.,2019-20,-3.668232735,,,-0.05
Boban Marjanovic,2019-20,-3.679662943,-1.6,0.6,-0.22
Keita Bates-Diop,2019-20,-3.758250464,-2.8,0.1,-0.57
De'Aaron Fox,2019-20,-3.763450284,-0.5,1.4,-0.61
Bojan Bogdanovic,2019-20,-3.765595001,-1.5,1.6,-1.38
Ignas Brazdeikis,2019-20,-3.76735752,-3.9,0.0,-0.12
Austin Rivers,2019-20,-3.790780295,-0.4,1.2,-1.28
Drew Eubanks,2019-20,-3.806577736,-0.4,0.3,0.87
CJ Miles,2019-20,-3.862383701,,,-0.18
Michael Porter Jr.,2019-20,-3.866116816,-0.8,1.1,-0.48
William Howard,2019-20,-3.879635153,-5.4,0.0,-0.58
Kevin Love,2019-20,-3.90581705,-0.5,1.3,-0.62
Goran Dragic,2019-20,-3.906407754,-1.6,1.3,-1.51
Grayson Allen,2019-20,-3.916329755,-1.2,0.4,-1.02
Joe Chealey,2019-20,-4.012791406,1.7,0.0,0.39
Devonte' Graham,2019-20,-4.017455114,-2.1,0.9,-1.41
Solomon Hill,2019-20,-4.046273671,0.8,0.3,-0.84
Jaylen Nowell,2019-20,-4.047402453,-0.8,0.0,-0.26
Josh Jackson,2019-20,-4.05807866,1.1,0.5,-0.13
Terrence Ross,2019-20,-4.160462876,-0.3,2.0,-1.54
Josh Magette,2019-20,-4.163768381,1.6,0.1,-0.03
Tremont Waters,2019-20,-4.168202708,1.0,0.2,-0.69
Adam Mokoka,2019-20,-4.212261614,-1.2,0.1,-0.48
Luke Kornet,2019-20,-4.237366847,-0.2,0.6,0.44
Jeremiah Martin,2019-20,-4.280120925,1.7,0.1,-0.19
Willy Hernangomez,2019-20,-4.281132964,-0.5,0.4,0.34
Garrison Mathews,2019-20,-4.303298039,-0.5,0.1,-0.25
Moses Brown,2019-20,-4.317660673,-1.8,0.0,-0.2
DeMar DeRozan,2019-20,-4.326574423,-0.4,1.3,-1.16
Langston Galloway,2019-20,-4.410946934,-0.9,0.7,-1.87
PJ Dozier,2019-20,-4.434590968,-1.2,0.4,-0.45
Jordan Clarkson,2019-20,-4.447991624,-1.2,0.9,-1.68
Kevin Hervey,2019-20,-4.48052279,-1.1,0.1,-0.23
Svi Mykhailiuk,2019-20,-4.481647331,-1.2,0.6,-0.27
Rajon Rondo,2019-20,-4.483184755,-0.1,1.3,-0.78
Jarred Vanderbilt,2019-20,-4.50130205,-2.8,0.0,-0.41
Derrick Walton Jr.,2019-20,-4.511241192,,,-0.7
Antonius Cleveland,2019-20,-4.516356904,-1.0,0.0,-0.34
Furkan Korkmaz,2019-20,-4.602561313,-1.0,1.4,-1.58
Gary Clark,2019-20,-4.611226885,-0.9,0.3,-1.01
Gary Trent Jr.,2019-20,-4.640754624,-0.8,0.3,-1.71
Ryan Anderson,2019-20,-4.651841949,0.5,0.0,-0.58
RJ Barrett,2019-20,-4.652926054,-1.5,1.1,-1.07
Rui Hachimura,2019-20,-4.721225539,-2.0,0.5,-0.35
Raul Neto,2019-20,-4.747615482,-0.6,0.6,-1.1
Charlie Brown Jr.,2019-20,-4.777641385,-1.4,0.0,0.19
Dzanan Musa,2019-20,-4.791218681,-0.9,0.5,-0.81
Denzel Valentine,2019-20,-4.848157823,0.2,0.6,-0.69
Derrick Rose,2019-20,-4.902695885,-1.7,0.7,-2.01
Bol Bol,2019-20,-4.905719214,-0.7,0.1,-0.32
Sekou Doumbouya,2019-20,-4.915832666,-1.4,0.5,-0.83
Nigel Williams-Goss,2019-20,-4.975694047,1.3,0.1,-0.27
Isaiah Hartenstein,2019-20,-5.005606999,1.3,0.4,0.26
Vic Law,2019-20,-5.021465543,-2.6,0.1,-0.03
Louis King,2019-20,-5.028156187,-1.1,0.0,-0.12
Thanasis Antetokounmpo,2019-20,-5.040031833,1.4,0.2,-0.32
Yogi Ferrell,2019-20,-5.051270761,-0.3,0.3,0.09
Marques Bolden,2019-20,-5.114543874,11.3,0.0,0.44
Anzejs Pasecniks,2019-20,-5.141544985,-1.5,0.2,0.38
Doug McDermott,2019-20,-5.149503087,-1.3,1.1,-1.41
Reggie Bullock Jr.,2019-20,-5.159304568,,,-0.49
Kyle Alexander,2019-20,-5.172473003,-3.7,0.0,-0.33
Luke Kennard,2019-20,-5.215024022,-1.4,0.3,-1.41
E'Twaun Moore,2019-20,-5.239878727,-0.8,0.7,-1.25
Mychal Mulder,2019-20,-5.245477335,-2.9,0.0,-0.43
Lou Williams,2019-20,-5.246316503,-1.4,1.8,-1.79
Alfonzo McKinnie,2019-20,-5.262288738,-0.9,0.3,-0.26
Jake Layman,2019-20,-5.325932041,-0.9,0.3,-0.1
Kyrie Irving,2019-20,-5.43935848,0.9,0.8,-0.3
Lance Thomas,2019-20,-5.446120919,-2.5,0.1,-0.29
Damian Lillard,2019-20,-5.496942648,-0.9,0.7,-2.66
BJ Johnson,2019-20,-5.563040403,,,-0.41
Emmanuel Mudiay,2019-20,-5.570844711,-0.1,0.9,-0.52
Tim Frazier,2019-20,-5.609172529,-1.6,0.2,-0.02
Keldon Johnson,2019-20,-5.611611411,0.0,0.2,0.31
Jordan Bone,2019-20,-5.612333637,-2.8,0.0,0.14
Reggie Jackson,2019-20,-5.638038238,-0.2,0.4,-0.86
Johnathan Motley,2019-20,-5.647463594,3.3,0.1,-0.34
Quinndary Weatherspoon,2019-20,-5.65396034,-1.0,0.0,-0.06
Zhaire Smith,2019-20,-5.713056933,0.4,0.1,-0.47
Jaylen Hoard,2019-20,-5.77276062,-1.3,0.1,-0.5
Blake Griffin,2019-20,-5.808227501,-2.6,0.3,-1.01
Nic Claxton,2019-20,-5.839789494,0.1,0.2,-0.21
Carsen Edwards,2019-20,-5.96600709,-0.2,0.4,-0.94
Yuta Watanabe,2019-20,-5.999925796,0.7,0.1,0.01
Daryl Macon,2019-20,-6.041185593,-4.8,0.0,-0.33
Theo Pinson,2019-20,-6.132012247,-0.2,0.4,-0.53
Ish Smith,2019-20,-6.140407922,-1.0,0.6,-1.08
Jalen Brunson,2019-20,-6.148300352,-1.0,0.6,-1.32
Shake Milton,2019-20,-6.231502609,-1.0,0.7,-1.11
Juancho Hernangomez,2019-20,-6.254600441,-1.0,0.4,-0.08
Malcolm Miller,2019-20,-6.267632725,1.2,0.2,-0.58
Zach Norvell Jr.,2019-20,-6.273148839,,,0.05
Chris Clemons,2019-20,-6.447332579,-1.3,0.2,-1.74
Dennis Smith Jr.,2019-20,-6.464122559,-0.9,0.5,-0.53
Andre Roberson,2019-20,-6.48069514,-0.2,0.1,-0.16
Allen Crabbe,2019-20,-6.579803071,-3.3,0.0,-0.9
Miye Oni,2019-20,-6.651008381,-1.1,0.1,-0.33
Admiral Schofield,2019-20,-6.662344433,-1.2,0.1,-0.33
Dion Waiters,2019-20,-6.705616092,-0.6,0.2,-0.65
Tyler Cook,2019-20,-6.759093489,-0.4,0.0,0.22
Dusty Hannahs,2019-20,-6.814369732,-2.1,0.0,-0.25
Georges Niang,2019-20,-6.834844132,-0.5,0.8,-0.57
Jarrell Brantley,2019-20,-6.848104654,0.7,0.1,0.03
Dewan Hernandez,2019-20,-6.850660204,-3.0,0.1,-0.62
Tacko Fall,2019-20,-7.033267568,6.0,0.1,-0.47
Naz Mitrou-Long,2019-20,-7.043038112,2.1,0.1,-0.43
Michael Frazier II,2019-20,-7.045863035,,,-0.45
JR Smith,2019-20,-7.110833661,,,-0.78
Shamorie Ponds,2019-20,-7.11469654,5.3,0.0,-0.58
Matt Thomas,2019-20,-7.173454964,0.1,0.6,-1.86
Kevin Porter Jr.,2019-20,-7.204380055,-0.6,0.6,-1.01
Chasson Randle,2019-20,-7.241268409,0.2,0.0,0.32
Marko Guduric,2019-20,-7.26857176,-0.7,0.4,-0.59
Troy Daniels,2019-20,-7.331545453,-2.4,0.1,-1.94
Brandon Goodwin,2019-20,-7.34661891,-1.3,0.2,-0.8
Johnathan Williams,2019-20,-7.375577931,-1.3,0.1,0.09
Seth Curry,2019-20,-7.42113706,-0.9,0.8,-1.99
Cameron Payne,2019-20,-7.457752796,1.0,0.2,0.23
Ben McLemore,2019-20,-7.464717812,-0.6,1.1,-1.58
Luc Mbah a Moute,2019-20,-7.501820457,-2.2,0.0,-0.54
Tyler Herro,2019-20,-7.572905551,-1.2,1.3,-1.97
Sindarius Thornwell,2019-20,-7.643079731,-1.2,0.0,0.08
Terry Rozier,2019-20,-7.649770917,-1.2,1.1,-1.75
Zylan Cheatham,2019-20,-7.715243907,-0.5,0.0,-0.1
Henry Ellenson,2019-20,-7.716956049,-3.4,0.0,0.03
Jarrod Uthoff,2019-20,-7.78390791,-2.2,0.0,-0.08
Malik Monk,2019-20,-7.799603834,-1.3,0.6,-1.71
Paul Watson,2019-20,-7.982526793,1.4,0.1,-0.45
Damyean Dotson,2019-20,-8.082182516,-0.5,0.4,-1.75
Justin Wright-Foreman,2019-20,-8.151277361,-2.0,0.1,-0.21
Ty Jerome,2019-20,-8.263073215,0.1,0.3,-0.26
Elie Okobo,2019-20,-8.426429427,0.0,0.5,-0.74
Chandler Parsons,2019-20,-8.435330788,-1.6,0.0,-0.08
Jerian Grant,2019-20,-8.517729375,-2.0,0.0,-0.08
Jeff Teague,2019-20,-8.678025917,-1.5,0.2,-1.92
Rayjon Tucker,2019-20,-8.765108592,-2.2,0.1,-0.16
Udonis Haslem,2019-20,-8.876771917,-1.6,0.1,-0.16
Mfiondu Kabengele,2019-20,-9.068144537,-0.1,0.1,-0.3
D'Angelo Russell,2019-20,-9.123165677,-1.7,0.3,-1.26
Anfernee Simons,2019-20,-9.171057764,-1.9,0.1,-2.82
Talen Horton-Tucker,2019-20,-9.182409364,2.0,0.2,-0.73
Kevin Huerter,2019-20,-9.237134141,-0.9,0.6,-1.41
Devon Hall,2019-20,-9.242291738,-0.7,0.1,-0.29
T.J. Leaf,2019-20,-9.266697301,0.1,0.4,-0.5
Marco Belinelli,2019-20,-9.320319586,-2.0,0.2,-1.08
Devontae Cacok,2019-20,-9.504664612,-4.6,0.0,-0.76
Brian Bowen II,2019-20,-9.571121728,,,-0.56
Coby White,2019-20,-9.597630472,-1.6,1.4,-0.85
Bryn Forbes,2019-20,-9.59796339,-2.1,0.3,-1.32
J.J. Barea,2019-20,-9.709429279,-3.0,0.2,-1.38
Frank Jackson,2019-20,-9.767272839,-2.2,0.3,-2.45
Trey Burke,2019-20,-9.987759773,-0.8,0.2,-1.62
Khyri Thomas,2019-20,-10.1283493,-1.7,0.0,-0.48
Quinn Cook,2019-20,-10.12995758,-1.4,0.5,-1.95
Allonzo Trier,2019-20,-10.40809453,-1.4,0.1,-1.25
