Player,Team,Pos,G,MP,DIS,Z_Hustle,Z_Defense,Z_Difficulty,Z_D_LEBRON
Hunter Tyson,DEN,PF,40,400,-6.13089803,-0.715533745,-0.5826203,-0.852937814,-0.416113108
Jett Howard,ORL,SF,49,701,-6.137905491,-0.799724443,0.51354992,-0.8610317,-1.243686471
Isaiah Jackson,IND,C,5,84,-6.159999437,-1.151581277,0.725477836,-2.795176031,-0.108728716
Justin Minaya,POR,SF,8,101,-6.170662177,-1.155110128,-0.597140441,-0.992827232,0.092253386
CJ McCollum,NOP,PG,56,1832,-6.173313516,0.350658295,0.260626425,0.735589712,-2.99341301
Seth Curry,CHA,SG,58,1062,-6.197564222,-0.282254604,-0.614040171,-0.411101346,-1.066349322
Craig Porter Jr.,CLE,PG,41,513,-6.213974938,-0.757049122,-0.625427602,-1.628809432,0.021318527
Xavier Tillman,BOS,C,25,231,-6.242658343,-0.933751897,-1.185437931,-1.117814107,0.399637778
Cole Swider,TOR,SF,10,170,-6.274335002,-1.074646284,0.370736976,-2.150295522,-0.250598435
Caleb Houstan,ORL,SF,49,788,-6.29387987,-0.668805445,-0.816085824,-0.429490235,-0.534337874
Malevy Leons,OKC,SF,2,21,-6.332843994,-1.276673484,-0.581329987,1.858642085,-1.279153901
Nate Williams,HOU,SG,12,147,-6.343950497,-1.063497497,-0.781632167,-0.038293702,-0.380645678
Tyus Jones,PHX,PG,79,2174,-6.362398708,0.104076896,-0.921119127,0.518616685,-1.716585535
Chris Livingston,MIL,SF,14,106,-6.422987948,-1.078990927,-0.13986723,-2.122694741,0.11589834
Isaiah Collier,UTA,PG,69,1839,-6.427245004,0.635456315,-2.001235893,0.31431337,-1.267331424
Terrence Shannon Jr.,MIN,SG,27,339,-6.477375495,-0.810976016,-0.356520491,-0.867907059,-0.61709521
Vasilije Micic,PHX,PG,29,785,-6.490468809,-0.777709254,0.098405836,-0.046233278,-1.444668573
Vince Williams Jr.,MEM,SG,25,499,-6.508415703,-0.768705384,-1.319283517,0.347723809,-0.475225491
Daeqwon Plowden,ATL,SG,4,72,-6.523846916,-1.219320232,-0.513808362,-0.884076018,-0.085083763
Jared Rhoden,TOR,SG,9,226,-6.574439513,-1.101001655,-1.2506115,0.451882912,-0.274243389
Jeff Dowtin Jr.,PHI,PG,28,621,-6.594193664,-0.732341545,-0.381536458,-1.085006455,-0.605272734
Terence Davis,SAC,SG,1,8,-6.600049669,-1.279105532,0.031904591,-2.528757251,0.316880442
David Duke Jr.,SAS,SG,4,34,-6.601763613,-1.22028204,0.310015568,-2.661811048,0.092253386
Yuri Collins,GSW,PG,2,16,-6.60570339,-1.254845718,-0.7718047,-0.343022319,-0.132373669
Reggie Jackson,PHI,PG,28,384,-6.639360902,-0.834168895,-1.118127638,0.363478626,-0.628917687
Mason Jones,SAC,SG,3,45,-6.651516428,-1.249649582,-0.492173922,-1.677581275,0.281413012
Damion Baugh,CHA,SG,15,370,-6.671756604,-0.838235595,-1.659285653,0.826335757,-0.416113108
Johnny Juzang,UTA,SG,64,1270,-6.698104907,0.033417764,-1.223481803,-0.053019425,-1.220041518
AJ Johnson,WAS,SG,22,638,-6.727446162,-0.840641729,-0.022801303,-0.349240396,-1.208219041
Harrison Barnes,SAS,PF,81,2228,-6.737163192,0.67450221,-1.18664143,0.350743696,-2.106727264
Shake Milton,LAL,SG,46,836,-6.749057087,-0.429798224,-1.42163124,0.034735737,-0.65256264
Coby White,CHI,SG,73,2450,-6.758290247,0.786285875,-1.649868621,-0.557205167,-1.38555619
Ricky Council IV,PHI,SF,63,1250,-6.829280291,-0.173307074,-0.133585929,-0.928744345,-1.52742591
Tyrese Martin,BKN,SG,58,1315,-6.843776763,-0.068496825,-1.221722845,-0.114751086,-1.137284181
Doug McDermott,SAC,SF,31,342,-6.846817716,-1.068613694,0.072245627,-0.273158772,-1.137284181
Maxwell Lewis,BKN,SF,22,328,-6.859288967,-1.00766107,-0.517061857,-1.572889791,-0.06143881
Pat Spencer,GSW,PG,25,250,-6.860643961,-1.054771127,-0.760401824,-1.310455928,0.056785957
Kevin Knox II,GSW,SF,9,84,-6.881333248,-1.211366578,0.147680267,-2.004339063,-0.203308529
Keion Brooks Jr.,NOP,SF,12,332,-6.884444071,-0.955477597,-1.97161124,-0.050061291,0.328702919
Stanley Umude,MIL,SG,17,86,-6.904571218,-1.142489424,-0.263128992,-2.276831661,0.198655676
Josh Richardson,MIA,SG,8,150,-6.910648319,-1.170434252,-2.16963207,1.118026395,0.11589834
Jaden Ivey,DET,SG,30,898,-6.93024103,-0.579115491,-0.648316159,0.176905027,-1.279153901
Justin Edwards,PHI,SF,43,1156,-7.054944609,-0.032517306,-1.125436213,-0.204226969,-1.279153901
Damion Lee,PHX,SG,14,144,-7.057462625,-1.206556579,-0.006923266,-1.779126279,-0.250598435
Dalton Knecht,LAL,SF,71,1494,-7.066676661,-0.199418218,-0.975075863,-0.057912239,-1.314621331
Malcolm Brogdon,WAS,PG,24,564,-7.15142242,-0.822878542,-1.153296031,0.270942143,-0.735319977
GG Jackson,MEM,PF,27,459,-7.158243956,-0.844185177,-0.176178473,-0.208208741,-1.290976377
Malik Beasley,DET,SG,80,2283,-7.203844744,0.225477518,-1.278821881,-0.16187639,-1.480136003
Jeff Green,HOU,PF,30,396,-7.234752216,-0.831623022,-0.854847991,-0.595564841,-0.569805304
Jaden Hardy,DAL,SG,47,907,-7.260408924,-0.377647672,-0.430482493,-0.289009679,-1.539248386
Jamaree Bouyea,MIL,PG,4,62,-7.29187679,-1.211095207,-0.249817591,-1.994400322,-0.014148903
