Player,Team,Pos,G,MP,DIS
George King,DAL,SF,4,19,-7.558439465
Kai Jones,CHA,C,14,63,-7.578395607
Oshae Brissett,IND,SF,66,1564,-7.62243215
Kyle Guy,MIA,SG,14,186,-7.632250697
Jarrett Culver,MEM,SG,30,338,-7.737545711
Sam Dekker,TOR,PF,1,1,-7.737842238
Cheick Diallo,DET,C,3,31,-7.782618333
Tyler Johnson,SAS,PG,6,91,-7.832822852
Jordan Nwora,MIL,SF,56,1185,-7.880440748
Melvin Frazier Jr.,OKC,SG,3,120,-7.931179943
Markus Howard,DEN,SG,18,176,-7.965344822
Frank Jackson,DET,PG,52,1164,-8.030184891
MJ Walker,PHX,SG,1,8,-8.03339337
Isaiah Joe,PHI,SG,39,609,-8.049776107
Coby White,CHI,PG,61,1675,-8.05346193
Xavier Sneed,UTA,SF,6,39,-8.055151475
Miye Oni,UTA,SG,8,44,-8.06398587
Jaylen Hoard,OKC,SF,7,240,-8.17320961
Bryn Forbes,DEN,SG,69,1286,-8.244210554
Chris Silva,MIA,PF,8,91,-8.380397181
Jamorko Pickett,DET,PF,10,176,-8.40801601
Brad Wanamaker,WAS,PG,20,320,-8.501315839
Jahmi'us Ramsey,SAC,SG,11,134,-8.524645964
Trey Burke,DAL,PG,28,441,-8.583207416
Vernon Carey Jr.,WAS,C,3,44,-8.720620523
Dakota Mathias,MEM,SG,3,16,-8.736364604
Tyrone Wallace,NOP,SG,5,75,-8.740108192
Daishen Nix,HOU,SG,17,261,-8.77408403
Cam Thomas,BKN,SG,58,1176,-8.89217629
Shaquille Harrison,BKN,SG,2,23,-8.941227114
Terry Taylor,IND,PF,31,714,-8.994316354
Sandro Mamukelashvili,MIL,PF,36,407,-9.223112446
Isaiah Todd,WAS,PF,10,74,-9.312465146
McKinley Wright IV,MIN,PG,2,19,-9.341744398
Kevin Knox II,ATL,SF,20,222,-9.467018441
Brandon Williams,POR,PG,24,640,-9.473983001
Keon Johnson,POR,SG,34,696,-9.49730666
Joe Johnson,BOS,SG,1,2,-9.821888314
Keljin Blevins,POR,SF,23,349,-9.961186596
Aleem Ford,ORL,SF,5,74,-9.996429281
Chandler Hutchison,PHX,SF,2,22,-10.01945106
Eric Paschall,UTA,PF,53,736,-10.03390849
Gabriel Lundberg,PHX,SG,4,44,-10.19519431
Georgios Kalaitzakis,OKC,SF,8,213,-10.29572089
Elijah Hughes,POR,SG,24,434,-10.35745995
Duane Washington Jr.,IND,PG,47,968,-10.60813089
Malik Fitts,BOS,PF,9,63,-10.91172965
Lance Stephenson,IND,SG,43,814,-10.9351915
Terrence Ross,ORL,SG,61,1448,-11.0268463
Josh Christopher,HOU,SG,67,1334,-11.02747604
Doug McDermott,SAS,PF,51,1223,-11.73351195
Sam Merrill,MEM,SG,6,58,-11.91152809
Lindell Wigginton,MIL,PG,14,199,-11.93327148
Ben McLemore,POR,SG,60,1285,-12.35379008
Jalen Green,HOU,SG,66,2138,-12.71535196
Kira Lewis Jr.,NOP,PG,24,341,-12.75532383
Anfernee Simons,POR,SG,54,1681,-14.75539329
D.J. Augustin,LAL,PG,46,883,-15.73715285
James Bouknight,CHA,SG,20,304,-18.10422043
