Player,Team,Pos,G,MP,DIS,,,
Isaiah Whitehead,BKN,PG,15,180,-4.348181994,,,
Jose Calderon,CLE,PG,49,914,-4.372639942,,,
Glenn Robinson III,IND,SF,23,338,-4.37634538,,,
Jake Layman,POR,SF,23,160,-4.429553186,,,
Tony Allen,NOP,SF,20,272,-4.429778483,,,
Zhou Qi,HOU,C,17,124,-4.438405933,,,
Nick Collison,OKC,PF,14,75,-4.458280504,,,
Kyle Singler,OKC,SF,9,59,-4.519517979,,,
Matt Costello,SAS,C,4,32,-4.535312406,,,
Thomas Bryant,LAL,C,12,72,-4.544210273,,,
Gary Payton II,LAL,PG,20,221,-4.565978125,,,
Ivan Rabb,MEM,PF,34,516,-4.569885827,,,
Sterling Brown,MIL,SG,51,776,-4.585808566,,,
Jabari Bird,BOS,SG,8,115,-4.610794941,,,
Dion Waiters,MIA,SG,30,918,-4.655472943,,,
Omer Asik,CHI,C,18,182,-4.682119393,,,
Ben McLemore,MEM,SG,55,1091,-4.755607146,,,
Jonathon Simmons,ORL,SG,69,2029,-4.756231413,,,
Shelvin Mack,ORL,PG,67,1365,-4.788242569,,,
Tyler Ulis,PHX,PG,69,1658,-4.808258406,,,
Josh Jackson,PHX,SF,77,1959,-4.833668277,,,
Tyler Dorsey,ATL,SG,52,974,-4.965508341,,,
Zach Randolph,SAC,PF,59,1508,-5.010270536,,,
Alfonzo McKinnie,TOR,SF,7,53,-5.014110103,,,
Josh Gray,PHX,PG,5,86,-5.026896091,,,
Ramon Sessions,WAS,PG,24,392,-5.05592764,,,
Evan Fournier,ORL,SF,57,1837,-5.064253513,,,
MarShon Brooks,MEM,SG,7,193,-5.139236088,,,
Malik Beasley,DEN,SG,44,583,-5.168568717,,,
Daniel Hamilton,OKC,SG,3,28,-5.176378459,,,
London Perrantes,CLE,PG,5,66,-5.195730661,,,
Malachi Richardson,TOR,SG,26,323,-5.217971187,,,
Joe Young,IND,PG,45,558,-5.252906164,,,
Nigel Hayes,SAC,SF,7,122,-5.292951333,,,
Kenneth Faried,DEN,PF,32,461,-5.34250349,,,
Luol Deng,LAL,SF,1,13,-5.344840215,,,
Jon Leuer,DET,PF,8,136,-5.35708072,,,
Alex Poythress,IND,PF,20,104,-5.366266982,,,
Kendrick Perkins,CLE,C,1,15,-5.539927747,,,
Luke Kennard,DET,SG,71,1463,-5.5643434,,,
Dennis Schroder,ATL,PG,67,2078,-5.612922543,,,
Michael Beasley,NYK,PF,72,1653,-5.638548628,,,
Kyrie Irving,BOS,PG,59,1931,-5.654168854,,,
Kay Felder,DET,PG,12,140,-5.704620531,,,
Jameel Warney,DAL,PF,3,27,-5.741698946,,,
Alex Abrines,OKC,SG,69,1134,-5.809824871,,,
Terrance Ferguson,OKC,SG,54,763,-5.839824385,,,
D.J. Augustin,ORL,PG,74,1760,-5.908623644,,,
Richard Jefferson,DEN,SF,18,163,-5.921128856,,,
Furkan Korkmaz,PHI,SG,12,80,-5.938052368,,,
Marco Belinelli,PHI,SG,80,1947,-5.993611419,,,
Andrew White III,ATL,SF,14,209,-5.999020023,,,
Chandler Parsons,MEM,SF,36,691,-6.014956864,,,
